category,proverb
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Каза лазу дзярэ, казу дзярэ пастух, пастуха дзярэ пан, а пана дзярэ юрыст, а юрыста чартоў трыста."
ЗАКОНЫ. ТУРМА,Суды весці — не лапці плесці.
СЛУЖБА. НАЙМЫ,Служба не дружба.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Людзі людзям патрэбныя.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Шукай сабе сябра ў бядзе.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У беднага i ў кашы косці.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду паспееш i на валу.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"У ix кірмаш, a ў нас работы нямаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Лепей дома касою касіць, чым у войску ранец насіць."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Знаць ляха па халявах.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","На белай зямлі сабакі касцяць, на чорнай пшанічку расцяць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зіма — ліха, а без зімы яшчэ горш."
СЕЛЬСКАЯ ГАСПАДАРКА,"Па чорнай зямельцы жыта сеюць, а па белай сабакі бегаюць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Майстар, зрабі кляйстар."
ПРАЦА,Усё жывое трудзіцца.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Мала дбаець, мала й маець. 
а) Хто мала маець, мала дбаець."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Жывы не без хаты, а мрэц не без магілы. 
а) Жывому хата, а пакойнаму магіла."
ХАРЧАВАННЕ,Голад у свет гоніць.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",На голага i сабакі брэшуць.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Сем седакоў — не воз, абы конь вёз."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Калі б не быў пуп закапаны тут, то жыў бы ў другім месцы."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не харобруй, кошка, на прожку, круль ногу перашыбе."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Папова вока, а воўча горла. 
а) Воўча горла, а папова вока — то нароўні. 
б) Паповае вока, воўчае горла бы зжорла."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Мужык плачыць, да даець, сельскі моршчыцца, да п'ець."
ЗАКОНЫ. ТУРМА,Па судзе то другое будзе.
СЛУЖБА. НАЙМЫ,"Хто служыць, вольнасць траціць. 
а) Служба вольнасць траціць."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што блюдзём, то людзём."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не тагды, калі салодка, но тагды, калі горка, прыяцель патрэбен."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Беднасць папрасілася жыць на нядзелю, а жыве цэлы месяц."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Прышла бяда на ліха.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як паехаў так рок на кірмаш, то i сягоння нямаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Кабы воля, нашоў бы сабе поля."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Па чом пазнаць ляха? — Па том, што на чэраве бляха."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Да першага грому зямля не ачышчаецца.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Зімовая дарога — запамога.
СЕЛЬСКАЯ ГАСПАДАРКА,Праца чорная — белы хлеб.
ПРОМЫСЛЫ I РАМЕСТВЫ,Дзела майстра баіцца.
ПРАЦА,Людзі без дзялоў не бываюць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Хто не дбае, той нічога не мае.
а) Хто не хацае, той i не мае. 
б) Хто не дбае, той трасцу мае. 
в) Хто не мае, той не дбае."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Бяда не мець свайго вугла.
ХАРЧАВАННЕ,Голад гоніць на холад.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бог наш бог, а мы твае галапупачкі."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Прадай лошадзь i санкі — купіш з паўфунта смятанкі.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Дзе радзіўся, там усё добрае."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Поп, цар i кат — адзін аднаму родны брат."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Паповы вочы ніколі не поўны.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Што пісар зробіць, — сам чорт не пераробіць."
ЗАКОНЫ. ТУРМА,За правінку чэшуць спінку.
СЛУЖБА. НАЙМЫ,"Наняўся — запрадаўся, 
а) Наняўся, як прадаўся. 
б) Калі наняўся, то як запрадаўся."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Як мір — так i брацця.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хто ў бядзе i ў вялікім няшчасці не быў, той i праўдзівых прыяцеляў не знае."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У нэндзы век доўгі.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не гора, а бяда."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Сённі не на тваём рынку торг.
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Каб далі волюшку, нашоў бы радную старонушку."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Аглядзеўся лях, як трасца ў нагах. 
a) Агледзеўся лях, што трасца ў зубах."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Пакуль гром не загрыміць, зямля не адтае."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,На адным палазку зіма едзе.
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі хоч хлеб меці, то трэба зямліцы глядзеці."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Усякае дзела майсцера баіцца, a інога дзела i майсцер бегае."
ПРАЦА,"Дзетачка, cni, а дзельца помні."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Без амбарасу ані часу.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",I халадно i галадно i хаты сваёй няма.
ХАРЧАВАННЕ,Возьме голад — паявіцца голас.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Жытка: на двух адна світка.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не запрогшы, не паедзеш."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Мілей свая хатка, як чужая веска."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Каралю смачна, а нам горка."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Божавольнага горла шырока.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Прадаў каня Ісару, а дзела маю з пісарам."
ЗАКОНЫ. ТУРМА,"Які паступак, такая й пакута."
СЛУЖБА. НАЙМЫ,"Хораша ў найме, ды не дай божа мне. 
а) Добра ў найме, няхай людзям, а не мне."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Ідзі з людзьмі, то не згубішся."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Ой, дружба, дружба, цяжкая твая служба."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Трэба бедаваць, калі няма на што панаваць."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда гоніць, мала шыі^не зломіць."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Сёння, паночкі, не ваш кірмаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Hi племені, ні роду, як бел камень у воду."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Мазуру біцца, так як людям хлеб з маслам з'есць."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",I зямля кажа.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зіма, як казна, свае возьме."
СЕЛЬСКАЯ ГАСПАДАРКА,"Дзе пасееш густа, там не будзе пуста."
ПРОМЫСЛЫ I РАМЕСТВЫ,Дзельніка дзела баіцца.
ПРАЦА,Справа не забава.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"На чом хто сядзіць, няхай таго глядзіць. 
а) Хто на чым сядзіць, тэй таго i глядзіць."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Нашаму Харытону няма нідзе прытону.
ХАРЧАВАННЕ,"Лепшы доўгі голад, як кароткі."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Паны — па тры ў штаны. 
а) Паны — на траіх носяць штаны."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не запрогшы, не кажы: но! 
а) Не запрог, не паганяй."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Жынка як жынка, але лепш родна старынка."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Ведае, як круль абедае."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папова пуза на сем аўчын шыта.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Поп (ксёндз) жывець з алтара, a пісар з каламара. 
а) Поп жыве з алтара, a пісар з пяра."
ЗАКОНЫ. ТУРМА,"Чыя віна, таго кара."
СЛУЖБА. НАЙМЫ,"Добра ў найме, але не мне."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Аўдзей усё меж людзей. 
а) Аўдзей бардзей паміж людзей."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"I службу служы, i сябру дапамажы."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднасць сораму не знае.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не шукай бяды, яна сама прыдзе.
а) Не жджы бяды, бяда сама прыдзець. 
б) Бяды шукаць не трэба, сама найдзе. 
в) Не шукай бяды, бяда сама цябе найдзець.
г) Не ішчы гора, гора цябе сышчыць.
д) Не шукайма ліха, яно нас само знайдзе.
е) Аднае бяды не трэба шукаць, яна сама знойдзе. 
ж) Бяда ўсюды знойдзе."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Усё ён кірмашуе, пакуль грошы за пазухай чуе."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Зашлі за Дунай — i двару не думай. 
а) Паехаў за Дунай, i ў двару не думай. 
б) Калі з'ехау за Дунай, то да хаты не думай."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Гэтыя мазуры ўсе то на кпіны зроблены.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Зямля святая ўсё прымае.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зіма на лета робіць, а лета на зіму."
СЕЛЬСКАЯ ГАСПАДАРКА,Асот ды лебяда — для палетку бяда.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Не то-то дорага, што золата; то-то дорага, што дарагога масцера."
ПРАЦА,"Хто любіць трудзіцца, таму без працы не сядзіцца."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,На ўсё трэба мець вока.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Hi дому, ні лому."
ХАРЧАВАННЕ,Чалавек галодны да нічога не згодны (не годны).
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Паны — па сем у адным каптаны.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Запрагай у дугу, а я па хамут пабягу."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Нідзе так, як удому."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дзіва, што ў караля да жонка хараша. 
а) He дзіва, што у караля жонка хараша. 
б) Што за дзіва, што ў караля жынка хараша. 
в) Дзіва, што ў караля жонка пекна. 
г) Дзіва, што ў караля жонка прыгожая."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У папа мяшок без дна.
