category,proverb,number,book_page
СЛУЖБА. НАЙМЫ,Служба не дружба,896,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Людзі людзям патрэбныя,1020,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Шукай сабе сябра ў бядзе,1201,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У беднага i ў кашы косці,1504,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","г) Як дасць бог бяду, то й грошай здабуду",1,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"У ix кірмаш, a ў нас работы нямаш",2126,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Лепей дома касою  касіць, чым у войску ранец насіць",2593,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Знаць ляха па халявах,2726,508
ПРАЦА,Праца i сіла горы звернуць,1479,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","На белай зямлі сабакі касцяць, на чорнай пшанічку расцяць",10,52
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зіма — ліха, а без зімы яшчэ горш",297,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Па чорнай зямельцы жыта сеюць, а па белай сабакі бегаюць",839,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Майстар, зрабі кляйстар",1253,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як дбаем, так i маем
а) Як хто дбае, так i мае",9,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Жывы не без хаты, а мрэц не без магілы
а) Жывому хата, а пакойнаму магіла",324,209
ХАРЧАВАННЕ,"Няма лепшае навукі, як голад",438,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","6) Галодны поле пярэйдзеш, а голы не",1036,264
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Сем седакоў — не воз, абы конь вёз",117,274
РАДЗІМА. ЧУЖЫНА,"а) Дораг той куток,  дзе рэзалі пупок",80,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не  харобруй,  кошка, на прожку, круль ногу перашыбе",111,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Паповы вочы ніколі не поўны,501,327
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Мужык плачыць, да даець, сельскі моршчыцца, да п'ець",662,339
СУД. ЗАКОНЫ. ТУРМА,За правінку чэшуць спінку,116,349
СЛУЖБА. НАЙМЫ,"Хто служыць, вольнасць траціць
а) Служба вольнасць траціць",897,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што блюдзём, то людзём",1021,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не тагды, калі салодка, но тагды, калі горка, прыяцель патрэбен",1202,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Беднасць  папрасілася  жыць  на нядзелю, а жыве цэлы  месяц",1505,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду паспееш i на валу,1900,438
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як паехаў так рок на кірмаш, то i сягоння нямаш",2127,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Кабы воля, нашоў бы сабе  поля",2594,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Па чом пазнаць ляха? — Па том, што на чэраве бляха",2727,508
ПРАЦА,Усё жывое трудзіцца,1480,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Да першага грому зямля не ачышчаецца,11,52
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Зімовая дарога — запамога,298,72
СЕЛЬСКАЯ ГАСПАДАРКА,Праца чорная — белы хлеб,840,115
ПРОМЫСЛЫ I РАМЕСТВЫ,Дзела майстра баіцца,1254,147
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Мала дбаець, мала й маець
а) Хто мала маець, мала дбаець",10,186
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Бяда не мець свайго вугла,325,210
ХАРЧАВАННЕ,Голад у свет гоніць,439,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Якія з голага смешкі, калі няма адзежкі",1037,264
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Прадай лошадзь i санкі — купіш з паўфунта  смятанкі,1178,275
РАДЗІМА. ЧУЖЫНА,"в) Дарагі той куток, дзе завязалі пупок",80,288
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Поп, цар i кат — адзін аднаму родны брат",112,297
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Божавольнага горла шырока,502,327
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Што пісар зробіць, — сам чорт не пераробіць",663,339
СУД. ЗАКОНЫ. ТУРМА,"Які паступак, такая й пакута",777,349
СЛУЖБА. НАЙМЫ,"Наняўся — запрадаўся, ДіСБ, 71
а) Наняўся,  як  прадаўся",898,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Як мір — так i брацця,1022,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хто ў бядзе i ў вялікім няшчасці не быў, той i праўдзівых  прыяцеляў не знае",1203,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У нэндзы век доўгі,1506,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Прышла бяда на ліха,1901,438
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Сённі не на тваём рынку торг,2128,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Каб далі волюшку, нашоў бы радную старонушку",2595,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Аглядзеўся лях, як трасца ў нагах
a) Агледзеўся лях, што трасца ў зубах",2728,508
ПРАЦА,Людзі без дзялоў не бываюць,1481,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Пакуль гром не загрыміць, зямля не адтае",12,52
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На адным палазку зіма едзе,299,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі хоч хлеб меці, то трэба зямліцы глядзеці",841,116
ПРОМЫСЛЫ I РАМЕСТВЫ,"Усякае дзела майсцера баіцца, a інога дзела i майсцер бегае",1255,147
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Хто не дбае, той нічога не мае
а) Хто не хацае, той i не мае",11,186
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",I халадно i галадно i хаты сваёй няма,326,210
ХАРЧАВАННЕ,Голад гоніць на холад,440,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",На голага i сабакі брэшуць,1038,264
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не запрогшы, не паедзеш",1179,275
РАДЗІМА. ЧУЖЫНА,"Калі б не быў пуп закапаны тут, то жыў бы ў другім месцы",10,288
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Каралю смачна, а нам горка",113,297
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папова пуза на сем аўчын шыта,503,327
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Прадаў каня Ісару, а дзела маю з пісарам",664,339
СУД. ЗАКОНЫ. ТУРМА,"Чыя віна, таго кара",778,349
СЛУЖБА. НАЙМЫ,"Хораша ў найме, ды не дай божа мне
а) Добра ў найме, няхай людзям, а не мне",899,359
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Ідзі з людзьмі, то не згубішся",1023,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Ой, дружба, дружба, цяжкая твая служба",1204,382
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Трэба бедаваць, калі няма на што панаваць",1507,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не гора, а бяда",1902,438
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Сёння, паночкі, не ваш кірмаш",2129,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Hi племені, ні роду, як бел камень у воду",2596,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"157, Уздз",1970,508
ПРАЦА,"Дзетачка, cni, а дзельца помні",1482,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",I зямля кажа,13,52
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зіма, як казна, свае возьме",300,73
СЕЛЬСКАЯ ГАСПАДАРКА,"Дзе пасееш густа, там не будзе пуста",842,116
ПРОМЫСЛЫ I РАМЕСТВЫ,Дзельніка дзела баіцца,1256,147
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Без амбарасу  ані часу,12,186
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Нашаму Харытону няма нідзе прытону,327,210
ХАРЧАВАННЕ,Возьме голад — паявіцца голас,441,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бог наш бог, а мы твае галапупачкі",1039,264
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не запрогшы, не кажы: но! Дуб
а) Не запрог, не паганяй",1180,275
РАДЗІМА. ЧУЖЫНА,"Дзе радзіўся, там усё добрае",11,288
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Ведае, як круль абедае",114,297
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У папа мяшок без дна,504,327
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Поп (ксёндз) жывець з алтара, a пісар з каламара
а) Поп жыве з алтара, a пісар з пяра",665,340
СУД. ЗАКОНЫ. ТУРМА,"Чый грэх, таго и атвет",119,349
СЛУЖБА. НАЙМЫ,"Добра ў найме, але не мне",900,359
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Аўдзей усё меж людзей
а) Аўдзей бардзей паміж людзей",1024,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"I службу служы, i сябру дапамажы",1205,382
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднасць сораму не знае,1508,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда гоніць, мала шыі^не зломіць",1903,438
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Усё ён кірмашуе, пакуль грошы за пазухай чуе",2130,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Зашлі за Дунай — i двару не думай
а) Паехаў за Дунай, i ў двару не думай",2597,498
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Мазуру біцца, так як людям хлеб з маслам з'есць",2729,508
ПРАЦА,Справа не забава,1483,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Зямля святая ўсё прымае,14,52
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зіма на лета робіць, а лета на зіму",301,73
СЕЛЬСКАЯ ГАСПАДАРКА,Асот ды лебяда — для палетку бяда,843,116
ПРОМЫСЛЫ I РАМЕСТВЫ,"Не то-то дорага, што золата; то-то дорага, што дарагога  масцера",1257,147
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"На чом хто сядзіць, няхай таго глядзіць
а) Хто на чым сядзіць,  тэй таго i глядзіць",13,186
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Hi дому, ні лому",328,210
ХАРЧАВАННЕ,"Лепшы доўгі голад, як кароткі",442,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Жытка: на двух адна світка,1040,264
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Запрагай у дугу, а я па хамут пабягу",1181,275
РАДЗІМА. ЧУЖЫНА,"Мілей свая хатка, як чужая веска",12,288
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дзіва, што ў караля да жонка хараша
а) He дзіва, што у караля жонка хараша",115,297
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Поп з жывога i мёртвага дзярэ
а) Поп i за жывога i за мёртвага бярэць",505,327
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Быць таму так, як пісцы напісалі",666,340
СУД. ЗАКОНЫ. ТУРМА,На грэх майстра нет,780,350
СЛУЖБА. НАЙМЫ,"Дружба дружбаю, а служба службаю",901,359
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Прамеж людзей i ён чалавек,1025,369
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не ў службу, а ў дружбу",1206,382
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Прыйшлі i мы да Хамы, а той сам бядны",1509,407
